alpha,amp,Qmin_over_Qmean,R,OSI,rho,field_eps,err_TAWSS,err_R,err_OSI,err_RRT,smooth_err_RRT
4,1.1,0.736018,0.984363,0.00781849,0.01,0.0776565,0.00534406,0.00244326,0.153806,0.00624375,0
4,1.1,0.736018,0.984363,0.00781849,0.02,0.153654,0.0111454,0.00319579,0.201178,0.0121559,0
4,1.1,0.736018,0.984363,0.00781849,0.05,0.357422,0.0267139,0.00417892,0.263067,0.0271926,0
4,1.2,0.71202,0.976734,0.0116332,0.01,0.082533,0.00655694,0.004389,0.184253,0.00680582,0
4,1.2,0.71202,0.976734,0.0116332,0.02,0.163303,0.0128621,0.00428944,0.180073,0.0132406,0
4,1.2,0.71202,0.976734,0.0116332,0.05,0.379866,0.0295156,0.005315,0.223127,0.0295615,0
4,1.3,0.688021,0.966988,0.016506,0.01,0.0870366,0.00703248,0.00473624,0.138734,0.007367,2.22045e-16
4,1.3,0.688021,0.966988,0.016506,0.02,0.172214,0.0142074,0.00495276,0.145076,0.0143221,2.22045e-16
4,1.3,0.688021,0.966988,0.016506,0.05,0.400594,0.0319783,0.00673552,0.197297,0.0319161,2.22045e-16
4,1.4,0.664023,0.957435,0.0212825,0.01,0.0911868,0.00749862,0.00508205,0.114313,0.0079273,2.22045e-16
4,1.4,0.664023,0.957435,0.0212825,0.02,0.180426,0.015483,0.00587883,0.132235,0.0154006,2.22045e-16
4,1.4,0.664023,0.957435,0.0212825,0.05,0.419696,0.0343099,0.00892722,0.200804,0.034257,2.22045e-16
4,1.5,0.640025,0.948069,0.0259656,0.01,0.0950055,0.00795564,0.00542667,0.0990707,0.00848673,3.33067e-16
4,1.5,0.640025,0.948069,0.0259656,0.02,0.187981,0.0166023,0.00671319,0.122558,0.0164761,3.33067e-16
4,1.5,0.640025,0.948069,0.0259656,0.05,0.437272,0.0364867,0.0113276,0.2068,0.0365848,3.33067e-16
4,1.6,0.616026,0.938884,0.0305579,0.01,0.0985152,0.0084038,0.0057703,0.0886455,0.0090453,2.22045e-16
4,1.6,0.616026,0.938884,0.0305579,0.02,0.194926,0.0176167,0.00730862,0.112278,0.0175486,2.22045e-16
4,1.6,0.616026,0.938884,0.0305579,0.05,0.453426,0.0385261,0.0134805,0.207093,0.0389001,2.22045e-16
4,1.7,0.592028,0.929876,0.0350621,0.01,0.101739,0.00884337,0.00611315,0.0810629,0.00960301,0
4,1.7,0.592028,0.929876,0.0350621,0.02,0.201304,0.0184145,0.00798537,0.105889,0.0186183,0
4,1.7,0.592028,0.929876,0.0350621,0.05,0.468262,0.0404809,0.015416,0.204423,0.0412034,0
4,1.8,0.56803,0.921039,0.0394807,0.01,0.104698,0.00927458,0.00645541,0.0752986,0.0101599,2.22045e-16
4,1.8,0.56803,0.921039,0.0394807,0.02,0.20716,0.0191041,0.00862889,0.100651,0.0196851,2.22045e-16
4,1.8,0.56803,0.921039,0.0394807,0.05,0.481884,0.0423676,0.0171669,0.200242,0.0434954,2.22045e-16
4,1.9,0.544031,0.912368,0.0438161,0.01,0.107416,0.00969767,0.00679725,0.0707684,0.0107159,2.22045e-16
4,1.9,0.544031,0.912368,0.0438161,0.02,0.212537,0.0197972,0.0092184,0.0959757,0.0207491,2.22045e-16
4,1.9,0.544031,0.912368,0.0438161,0.05,0.494391,0.0441697,0.0187435,0.195144,0.0457767,2.22045e-16
4,2,0.520033,0.903859,0.0480706,0.01,0.109911,0.0101129,0.00713884,0.0671148,0.0112711,2.22045e-16
4,2,0.520033,0.903859,0.0480706,0.02,0.217474,0.0204687,0.00980029,0.0921361,0.0218104,2.22045e-16
4,2,0.520033,0.903859,0.0480706,0.05,0.505877,0.0459163,0.0202834,0.190692,0.0480477,2.22045e-16
4,2.1,0.496034,0.895507,0.0522466,0.01,0.112204,0.0105204,0.00748031,0.0641063,0.0118255,0
4,2.1,0.496034,0.895507,0.0522466,0.02,0.222011,0.0211009,0.0104078,0.0891948,0.0228691,0
4,2.1,0.496034,0.895507,0.0522466,0.05,0.516429,0.0475953,0.0218005,0.18683,0.0503091,0
4,2.2,0.472036,0.887308,0.056346,0.01,0.114312,0.0109205,0.00782182,0.061587,0.012379,2.22045e-16
4,2.2,0.472036,0.887308,0.056346,0.02,0.226182,0.0217031,0.0110589,0.087075,0.0239251,2.22045e-16
4,2.2,0.472036,0.887308,0.056346,0.05,0.526131,0.0492143,0.023384,0.18412,0.0525613,2.22045e-16
4,2.3,0.448038,0.879258,0.0603711,0.01,0.116251,0.0113133,0.00816348,0.0594474,0.0129318,4.44089e-16
4,2.3,0.448038,0.879258,0.0603711,0.02,0.230019,0.0222883,0.0117619,0.0856514,0.0249786,4.44089e-16
4,2.3,0.448038,0.879258,0.0603711,0.05,0.535057,0.0508105,0.0250905,0.182712,0.0548051,4.44089e-16
4,2.4,0.424039,0.871353,0.0643237,0.01,0.118037,0.011699,0.00850542,0.0576088,0.0134837,4.44089e-16
4,2.4,0.424039,0.871353,0.0643237,0.02,0.233552,0.0228696,0.0125179,0.084786,0.0260296,4.44089e-16
4,2.4,0.424039,0.871353,0.0643237,0.05,0.543277,0.0523773,0.0268146,0.18162,0.0570408,4.44089e-16
